PCI,Road Type,AADT,Asphalt Type,Last Maintenance,Average Rainfall,Rutting,IRI
50.67,Tertiary,1980,Concrete,2007,93.91,19.75,0.99
22.65,Secondary,25879,Asphalt,2016,96.55,19.01,0.91
80.05,Secondary,2521,Concrete,2019,57.11,14.46,0.85
86.69,Tertiary,2226,Asphalt,2024,64.92,12.37,0.72
31.81,Tertiary,2512,Asphalt,2019,93.51,18.81,1.18
29.05,Tertiary,2425,Asphalt,2019,88.32,19.17,0.84
91.36,Tertiary,4707,Asphalt,2024,45.45,13.16,0.31
66.94,Primary,24488,Concrete,2019,58.92,13.88,0.6
100,Tertiary,2115,Concrete,2022,58.88,12.72,0.72
69.66,Tertiary,2096,Concrete,2017,37.71,13.88,0.94
21.07,Secondary,8266,Asphalt,2020,73.33,18.77,1.02
30.04,Tertiary,2774,Asphalt,2018,70.23,17.71,1.18
66.24,Tertiary,1086,Concrete,2018,50.65,13.19,1.12
88.52,Tertiary,1848,Asphalt,2024,58.32,15.2,0.62
34.48,Tertiary,2462,Asphalt,2020,82.24,18.03,0.66
33.89,Tertiary,1336,Asphalt,2019,105.06,18.69,1.03
31.86,Secondary,24236,Asphalt,2018,71.24,18.12,1.39
100,Tertiary,1518,Concrete,2024,54.14,13.5,0.43
98.25,Secondary,7532,Concrete,2018,60.99,14.39,0.99
91.78,Tertiary,1607,Concrete,2022,41.57,12.33,0.51
93.89,Primary,54525,Concrete,2020,51.09,15.77,0.87
30.2,Tertiary,5448,Concrete,2007,91.73,18.87,0.87
25.35,Tertiary,2147,Asphalt,2017,79.73,19.21,0.69
28.62,Tertiary,2131,Asphalt,2011,74.64,17.7,0.92
48.16,Tertiary,2278,Concrete,2017,45.63,14.72,0.99
16,Primary,34862,Asphalt,2017,71.54,20,1.29
73.73,Tertiary,4461,Concrete,2018,36.29,13.27,0.64
35.07,Tertiary,5616,Concrete,2010,86.51,18.16,1.13
100,Secondary,2714,Asphalt,2024,46,13.53,0.71
85.83,Tertiary,1291,Concrete,2022,46.78,13.77,0.8
41.48,Secondary,9372,Asphalt,2016,80.14,19.19,0.94
26.04,Tertiary,2837,Asphalt,2020,51.79,18.26,0.86
53.66,Primary,33125,Asphalt,2025,56.32,14.62,0.88
88.93,Tertiary,1554,Asphalt,2020,72.13,17.08,1.14
79.29,Tertiary,1411,Concrete,2016,46.05,13.03,0.6
14.05,Secondary,9206,Asphalt,2020,68.86,18.31,1.11
22.48,Secondary,19656,Asphalt,2005,108.18,20.51,1.04
54.52,Tertiary,442,Concrete,2019,42.8,15.04,0.67
91.31,Secondary,10714,Concrete,2017,58.41,14.79,0.61
55.28,Tertiary,1064,Asphalt,2020,68.86,19.29,0.66
80.05,Primary,25483,Concrete,2017,42.9,16,0.88
78.64,Primary,21442,Asphalt,2023,42.13,16.98,0.82
0.97,Secondary,10477,Asphalt,2019,82.64,19.93,0.84
29.64,Tertiary,2098,Concrete,2013,70.61,19.24,1.27
18.73,Tertiary,935,Asphalt,2020,92.61,20.45,0.91
100,Primary,46688,Concrete,2019,53.39,15.9,0.98
42.75,Tertiary,5582,Asphalt,2016,69.83,19.9,0.85
12.37,Secondary,9038,Asphalt,2019,91.56,19.6,0.87
84.87,Secondary,-160,Concrete,2022,65.68,13.64,1.03
55.68,Primary,30093,Concrete,2019,52,14.76,0.94
80.74,Secondary,17099,Concrete,2018,58.04,14.93,0.44
41.39,Tertiary,1579,Asphalt,2001,83.36,17.99,0.95
15.51,Tertiary,1116,Asphalt,2016,84.17,18.1,0.92
26.37,Primary,27931,Asphalt,2020,93.37,19.83,0.89
57.41,Secondary,3446,Asphalt,2023,40.44,12.06,0.75
92.44,Tertiary,2642,Concrete,2020,60.45,12.8,1.04
26.59,Tertiary,3646,Asphalt,2018,96.03,18.76,1.02
93.18,Primary,27773,Concrete,2022,40.53,11.67,0.35
95.02,Tertiary,502,Concrete,2018,55.98,14.25,1.02
89.91,Primary,23922,Concrete,2022,49.27,13.74,0.83
11.02,Tertiary,1390,Concrete,2011,82,19.54,0.9
100,Primary,17628,Asphalt,2023,38.99,14,0.34
19.19,Tertiary,3292,Asphalt,2019,79.12,20.71,1.06
11.14,Secondary,5608,Concrete,2007,76.75,18.08,1.13
26.65,Secondary,3650,Asphalt,2020,74.6,19.61,0.8
75.5,Tertiary,3668,Concrete,2020,63.64,12.61,0.81
82.88,Secondary,4073,Concrete,2020,55.19,14.47,0.83
45.31,Primary,34442,Concrete,2017,47.77,14.2,0.78
95.55,Secondary,13168,Concrete,2019,49.84,11.76,0.69
89.19,Secondary,17349,Concrete,2021,30.19,14.78,0.72
73.51,Tertiary,1365,Concrete,2021,39.44,12.71,0.88
35.01,Tertiary,3695,Asphalt,2009,78.21,18.54,1.19
33.78,Tertiary,3589,Asphalt,2017,79.53,19.71,1
55.32,Secondary,10892,Concrete,2022,47.06,17.66,0.47
0,Tertiary,3262,Asphalt,2014,91.14,20.31,1.04
92.17,Secondary,4708,Concrete,2023,46.33,13.58,0.79
79.32,Tertiary,4295,Concrete,2019,58.39,12.85,1.09
82.54,Primary,31163,Concrete,2016,48.41,13.99,0.82
83.41,Tertiary,2976,Concrete,2021,74.03,12.69,0.48
79.13,Tertiary,4411,Concrete,2017,53.81,13.96,1
93.51,Secondary,5993,Asphalt,2024,61.69,13.11,0.78
68.91,Primary,20369,Concrete,2021,39.8,15.14,1.11
0,Tertiary,2296,Asphalt,2018,66.42,18.59,0.72
2.62,Tertiary,4526,Asphalt,2019,91.43,20.01,1.1
20.07,Tertiary,3688,Asphalt,2014,71.3,18.53,0.75
80.26,Primary,17982,Concrete,2021,52.99,13.96,0.44
74.73,Primary,10670,Concrete,2020,48.23,13.14,0.77
32.19,Secondary,22118,Concrete,2008,100.66,17.79,0.91
42.94,Secondary,7955,Asphalt,2024,47.78,12.47,0.68
0,Secondary,17748,Asphalt,2015,96.21,19.73,1.15
44.16,Secondary,4068,Asphalt,2020,90.2,19.95,1.1
94.96,Primary,38694,Concrete,2016,63.93,15.44,1
87.1,Secondary,13105,Concrete,2018,72.36,17.61,0.93
84.78,Tertiary,730,Concrete,2018,48.28,15.1,0.94
100,Tertiary,1296,Concrete,2021,57.34,16.57,0.95
100,Secondary,3876,Concrete,2021,47.09,14,0.92
43.97,Tertiary,1426,Asphalt,2017,55.11,18.14,1.41
30.54,Tertiary,3951,Asphalt,2019,72.92,17.79,0.89
41.83,Tertiary,519,Concrete,2002,70.9,19.9,1.35
75.67,Primary,19744,Concrete,2016,36.4,15.22,0.76
64.44,Secondary,8205,Concrete,2025,47.38,12.7,0.67
53.95,Secondary,8558,Asphalt,2018,90.64,19.63,0.68
67.55,Tertiary,2264,Asphalt,2024,62.78,13.84,1.04
18.82,Tertiary,5894,Concrete,2006,98.75,20.77,0.95
52.85,Tertiary,995,Concrete,2024,35.41,12.51,0.45
86.91,Tertiary,1589,Concrete,2020,60.03,14.34,0.62
81.45,Secondary,13612,Concrete,2017,32.08,12.23,0.67
82.25,Primary,29791,Concrete,2021,44.27,12.2,0.62
95.35,Primary,36758,Concrete,2022,51.08,14.98,0.72
58.02,Secondary,1492,Asphalt,2015,87.79,19.65,0.66
91.85,Primary,30881,Concrete,2021,30.09,12.52,0.38
59.23,Primary,31427,Concrete,2023,47.7,11.81,0.78
19.18,Tertiary,2204,Asphalt,2015,57.39,18.88,0.82
19.87,Secondary,19912,Asphalt,2019,85.85,19.56,0.94
62.2,Tertiary,1137,Concrete,2005,98.48,19.55,0.88
5.61,Secondary,16601,Asphalt,2017,82.08,17.27,0.93
91.33,Primary,31272,Concrete,2022,55.52,16.34,1.14
75.31,Tertiary,5560,Concrete,2019,49.41,14.23,0.98
81.73,Tertiary,1899,Asphalt,2024,56.63,14.41,0.5
23.34,Secondary,31672,Concrete,2012,92.79,20.99,0.77
85.9,Secondary,12019,Asphalt,2024,56.38,13.19,0.64
84.72,Primary,32962,Concrete,2021,61.63,14.08,0.81
90.78,Tertiary,2660,Concrete,2020,36.26,12.11,0.61
6.82,Secondary,2658,Asphalt,2014,86.96,19.17,0.77
95,Secondary,7746,Concrete,2021,46.75,12.05,0.69
39.16,Secondary,31363,Asphalt,2020,74.53,18.8,1.26
30.99,Tertiary,4003,Asphalt,2013,80.13,20.35,0.93
74.97,Primary,32732,Concrete,2018,50.2,14.41,0.62
100,Tertiary,1765,Asphalt,2023,44.42,14.14,0.94
77.17,Tertiary,859,Concrete,2019,40.33,10.29,0.7
0,Tertiary,2912,Asphalt,2020,88.75,18.9,0.83
41.92,Tertiary,2988,Asphalt,2020,63.2,17.72,0.97
66.63,Secondary,19929,Asphalt,2023,44.7,13.43,0.83
47.96,Secondary,5840,Concrete,2012,78.85,18.38,1.04
44.58,Primary,34033,Asphalt,2024,51.41,14.78,1.03
84.08,Tertiary,746,Concrete,2022,70.63,14.83,0.88
16.7,Tertiary,4462,Asphalt,2006,68.38,19.3,0.98
63.25,Tertiary,755,Concrete,2018,55.78,13.42,0.76
70.74,Secondary,11048,Concrete,2019,45.15,13.37,0.95
74.66,Tertiary,2700,Asphalt,2024,46.09,11.87,0.71
23.45,Secondary,5299,Asphalt,2021,71.03,20.74,1.37
39.17,Secondary,1484,Concrete,2006,83.53,20.67,1.1
81.24,Tertiary,1506,Concrete,2018,45.35,15.01,0.17
63.44,Tertiary,1657,Asphalt,2024,51.98,16.15,0.81
37.4,Secondary,18395,Concrete,2008,69.5,19.14,0.69
100,Tertiary,1656,Concrete,2021,41.59,13.08,0.62
89.05,Primary,41964,Concrete,2021,53.43,15.45,0.56
36.42,Tertiary,527,Concrete,2009,82.91,18.9,0.86
27.96,Tertiary,2120,Asphalt,2018,82.9,18.83,1.09
84.03,Tertiary,515,Concrete,2022,38.22,13.51,0.34
39.01,Tertiary,5644,Asphalt,2015,79.19,18.64,0.93
80.9,Primary,33275,Concrete,2018,51.3,14.21,0.95
75.98,Secondary,10742,Concrete,2020,71.5,16.16,0.83
30.61,Tertiary,3947,Concrete,2007,80.38,16.71,1.11
14.1,Tertiary,2221,Asphalt,2018,81.09,19.65,1.08
73.74,Secondary,7764,Concrete,2021,35.95,14.02,0.57
41.52,Primary,15300,Asphalt,2018,86.83,20.91,1.1
73.48,Tertiary,1908,Concrete,2017,58.97,10.6,0.44
55.76,Secondary,13116,Asphalt,2015,79.08,18.29,1.12
74.04,Primary,56986,Concrete,2019,54.83,16.07,1
56,Secondary,9216,Concrete,2018,45.49,12.81,0.75
36.55,Tertiary,3973,Asphalt,2020,101.68,19.62,1.12
70.07,Secondary,5776,Asphalt,2024,39.04,11.7,0.59
38.85,Secondary,15932,Asphalt,2019,60.22,18.81,1.14
26.8,Primary,22780,Asphalt,2019,85.48,19.91,0.75
45.37,Tertiary,1908,Asphalt,2019,88.9,15.74,0.99
63.62,Primary,20728,Concrete,2020,55.82,15.21,0.81
90.98,Tertiary,579,Concrete,2018,40.06,13.13,0.45
100,Primary,7564,Concrete,2020,64.83,14.23,0.68
100,Tertiary,1277,Concrete,2019,48.36,14.27,0.55
16.17,Secondary,9380,Asphalt,2021,63.92,18.31,1.01
41.52,Secondary,22028,Asphalt,2018,79.98,20.51,0.95
13.5,Tertiary,2928,Concrete,2007,65.38,18.82,0.72
80.17,Secondary,10379,Concrete,2020,51.36,12.23,1.06
35.14,Tertiary,2837,Asphalt,2020,74.69,19.74,1.14
92.31,Tertiary,1854,Concrete,2020,46.83,12.86,0.83
76.51,Tertiary,2798,Concrete,2020,61.65,13.84,0.76
27.28,Tertiary,2869,Asphalt,2018,83.25,19.6,1.04
37.83,Tertiary,3468,Asphalt,2019,87.62,19.21,1.27
39.73,Tertiary,4980,Asphalt,2016,88.56,20.13,0.77
36.98,Tertiary,2599,Asphalt,2019,77.5,19,1.27
83.26,Secondary,4827,Concrete,2017,42.59,13.77,1.05
95.13,Tertiary,-31,Asphalt,2024,48.97,13.65,0.51
78.49,Primary,28401,Concrete,2020,61.77,17.46,0.61
52.48,Secondary,14885,Concrete,2020,54.91,14.78,0.47
94.7,Tertiary,3764,Concrete,2018,35.33,11.14,0.43
18.75,Secondary,8841,Asphalt,2013,79.42,18.38,0.92
48.6,Tertiary,2306,Concrete,2010,92.59,19.13,0.69
47.37,Primary,34016,Concrete,2023,58.49,15.25,0.77
0,Secondary,7140,Asphalt,2018,105.78,19.83,0.92
65.55,Secondary,4212,Concrete,2019,60.39,14.78,0.44
38.25,Tertiary,3323,Asphalt,2018,84.55,20.68,1.04
1.27,Tertiary,488,Concrete,2008,57.09,19.27,0.82
79.35,Tertiary,2597,Concrete,2022,53.33,14.95,0.67
58.75,Tertiary,3525,Concrete,2022,46.75,14.34,1.09
60.77,Tertiary,1301,Asphalt,2024,49.63,15.37,0.54
0,Primary,9525,Asphalt,2020,85.43,19.36,1.18
13.77,Tertiary,1728,Concrete,2011,79.3,19.56,0.61
60.71,Secondary,7271,Concrete,2023,54.3,15.73,0.77
50.5,Secondary,7502,Concrete,2024,47.01,13.49,0.82
37.68,Tertiary,5063,Asphalt,2020,63.73,19.43,1.05
26.35,Tertiary,1877,Concrete,2008,91.27,19.95,0.9
77.2,Secondary,2202,Concrete,2018,67.82,14.27,0.6
44.5,Primary,32771,Asphalt,2019,79.19,19.6,0.57
82.56,Secondary,8027,Asphalt,2024,48.8,12.28,1.13
80.96,Tertiary,1095,Concrete,2016,55.73,14.71,0.68
77.16,Primary,28024,Concrete,2021,37.25,16.07,0.67
82.3,Tertiary,647,Concrete,2020,62.23,11.22,0.67
95.49,Secondary,5454,Concrete,2025,58.29,12.8,0.74
47.85,Tertiary,3858,Concrete,2021,42.06,13.34,0.34
37.73,Primary,24608,Concrete,2000,66.61,19.33,0.78
29.93,Primary,31672,Asphalt,2010,91.09,20.16,1
58.36,Secondary,6886,Concrete,2018,34.53,12.68,0.72
27.58,Tertiary,3009,Asphalt,2015,80.05,18.64,0.85
39.61,Tertiary,2925,Asphalt,2017,79.06,19.04,0.88
15.88,Secondary,15526,Asphalt,2020,86.63,20.47,1.13
22.88,Tertiary,-319,Asphalt,2020,90.74,19.99,0.97
69.8,Secondary,17007,Concrete,2019,68.48,15.14,0.83
100,Tertiary,2600,Concrete,2023,44.12,13.13,0.14
49.51,Primary,28368,Concrete,2020,62.02,14.15,0.67
35.71,Secondary,23601,Asphalt,2019,75.92,19.19,0.59
100,Secondary,7907,Asphalt,2024,50.78,11.69,0.91
84.06,Primary,45049,Asphalt,2024,58.98,16.94,0.79
23.53,Tertiary,2971,Asphalt,2019,80.47,19.56,1.09
88.68,Tertiary,2349,Concrete,2022,40.16,15.97,1.03
89.31,Secondary,8855,Asphalt,2024,46.27,13.58,0.76
13.35,Tertiary,2984,Concrete,2009,60.54,19.3,1.09
0.34,Primary,37362,Concrete,2007,80.82,19.69,0.88
36.16,Secondary,5432,Concrete,2012,68.88,17.94,1.23
100,Primary,37552,Concrete,2018,56.7,15.96,0.62
86.05,Secondary,5301,Concrete,2019,71.32,16.01,0.57
87.47,Secondary,9386,Concrete,2020,35.64,12.67,0.56
42.25,Tertiary,2185,Asphalt,2017,102.81,19.9,0.8
85.37,Primary,20100,Concrete,2018,52.53,15.04,0.79
59.82,Tertiary,2734,Concrete,2020,66.28,14.43,0.55
78.34,Primary,34053,Concrete,2022,40.25,15.74,0.55
40.27,Tertiary,7112,Concrete,2008,73.78,21.49,0.8
78.97,Secondary,7642,Concrete,2024,43.43,11.3,0.58
36.06,Tertiary,2014,Concrete,2006,97.76,19.49,1.24
1.14,Secondary,7900,Asphalt,2018,72.72,18.37,0.65
75.37,Tertiary,1904,Concrete,2019,66.49,14.24,0.55
100,Primary,38331,Concrete,2021,58.19,13.77,0.41
82.78,Secondary,8333,Asphalt,2024,33.1,12.92,0.69
28.6,Tertiary,2747,Asphalt,2019,75.55,19.71,1
99.87,Tertiary,1961,Concrete,2020,63.4,15.08,0.71
99.25,Tertiary,715,Concrete,2020,50.21,14.28,0.46
63.83,Tertiary,607,Concrete,2022,62.82,12.72,0.82
24.15,Tertiary,3324,Asphalt,2017,81.44,18.97,0.82
28.41,Tertiary,3981,Concrete,2010,94.58,19.75,0.92
50.54,Secondary,5327,Concrete,2020,48.61,11.96,0.29
13.79,Tertiary,43,Asphalt,2019,85.22,20,0.91
9.73,Tertiary,7011,Asphalt,2019,72.81,18.24,1.13
97.57,Primary,66394,Concrete,2021,54.69,17.45,0.95
59.66,Tertiary,1719,Concrete,2008,81.41,18.15,0.95
66.29,Primary,23770,Concrete,2020,53.84,14.27,0.7
81.27,Tertiary,1293,Asphalt,2024,50.19,15.52,0.75
75.97,Primary,27993,Concrete,2018,43.55,14.49,0.78
13.47,Secondary,14119,Asphalt,2017,90.63,19.82,1.07
40.64,Secondary,14594,Asphalt,2019,79.29,18.68,0.76
70.12,Primary,27532,Concrete,2021,41.77,13.7,0.93
50.26,Secondary,14225,Concrete,2019,47.7,14.93,1.1
16.37,Secondary,3065,Asphalt,2003,82.08,17.75,1.01
55.84,Primary,21739,Asphalt,2024,50.32,15.61,0.65
56.61,Tertiary,849,Concrete,2019,63.59,15.12,0.79
61.87,Secondary,15574,Concrete,2020,47.84,14.56,0.45
88.7,Primary,18916,Concrete,2023,55.05,13.91,0.55
34.09,Secondary,9139,Concrete,2005,70.23,19.06,0.99
27.42,Tertiary,724,Asphalt,2021,75.67,19.7,0.81
100,Tertiary,2305,Concrete,2020,45.07,14.67,0.57
61.06,Tertiary,1688,Concrete,2017,51.8,13.57,0.89
49.3,Secondary,42387,Asphalt,2018,85.16,19.59,1.02
6.09,Secondary,6778,Asphalt,2020,88.7,18.48,0.85
89.49,Tertiary,723,Concrete,2020,54.28,13.63,0.45
49.52,Tertiary,3048,Asphalt,2015,95.41,20.56,1.11
54.25,Tertiary,1644,Asphalt,2017,84.31,19.29,1.21
98.84,Tertiary,2008,Concrete,2020,41.53,14.12,0.73
50.71,Tertiary,3732,Asphalt,2016,81.39,19.2,1.4
93.13,Tertiary,3185,Concrete,2017,52.22,14.64,1
61.29,Primary,31131,Concrete,2019,58.47,14.17,0.88
46.44,Tertiary,1870,Concrete,2011,62.05,19.65,1.13
53.86,Secondary,4831,Concrete,2021,81.05,13.23,0.73
50.09,Primary,49204,Concrete,2018,54.34,15.38,0.68
40.81,Primary,89550,Asphalt,2019,97.73,20.75,0.87
25.22,Tertiary,3253,Concrete,2013,75.32,19.06,1.32
37.41,Tertiary,2791,Asphalt,2018,71.86,18.4,0.96
86.04,Tertiary,1406,Concrete,2019,44.6,11.63,0.61
77.75,Tertiary,4092,Concrete,2020,54.55,12.5,0.99
63.54,Tertiary,2179,Concrete,2017,36.5,14.74,0.79
83.65,Secondary,12055,Concrete,2022,59.39,14.33,0.86
100,Tertiary,1670,Concrete,2021,58.25,13.3,0.51
29.02,Tertiary,1854,Asphalt,2019,82.49,19.88,1.32
75.17,Tertiary,1386,Asphalt,2024,52.93,15.43,0.83
22.67,Secondary,8164,Asphalt,2018,73.86,16.78,1.02
98.18,Secondary,6068,Concrete,2021,57.93,12.96,0.88
94.55,Tertiary,1632,Concrete,2022,50.43,11.15,0.04
90.72,Tertiary,1291,Concrete,2020,31.13,10.32,0.61
26.12,Tertiary,3086,Asphalt,2019,75.6,17.89,0.84
100,Tertiary,4621,Concrete,2020,37.68,12.9,0.67
75.44,Secondary,-707,Asphalt,2024,49.89,11.64,0.73
20.57,Tertiary,3027,Asphalt,2010,79.64,19.95,1.34
29.84,Tertiary,5224,Asphalt,2018,99.65,19.12,0.78
37.32,Secondary,25765,Asphalt,2020,88.72,20.47,1
49.33,Tertiary,1381,Asphalt,2017,74.58,20.61,0.96
38.93,Secondary,40633,Asphalt,2019,78.52,19.13,0.97
74.57,Tertiary,2422,Concrete,2018,58.17,13.14,0.78
82.11,Tertiary,2201,Concrete,2019,49.12,14.73,0.9
44.27,Secondary,19108,Asphalt,2019,79.41,18.29,1.42
81.91,Tertiary,2478,Concrete,2019,50.76,14.24,0.53
20.01,Secondary,-230,Concrete,2012,75.03,20.1,0.76
95.78,Secondary,3827,Concrete,2022,47.49,12.47,0.37
0,Tertiary,2228,Asphalt,2017,99.69,18.36,1.15
54.79,Primary,45514,Asphalt,2019,80.9,19.04,0.87
69.83,Secondary,6616,Concrete,2024,55.11,13.28,0.55
61.35,Tertiary,3660,Asphalt,2016,66.27,19.85,0.88
14.74,Primary,12018,Asphalt,2017,105.66,18.7,1
31.81,Tertiary,2665,Asphalt,2020,67.84,18.08,0.89
86.86,Tertiary,937,Concrete,2019,52.12,14.44,0.48
47.18,Tertiary,2120,Asphalt,2017,82.83,20.95,0.95
81.17,Tertiary,1407,Concrete,2021,39.5,14.79,0.35
65.6,Primary,923,Concrete,2024,35.74,9.61,0.32
92.87,Tertiary,3010,Concrete,2019,66.74,14.1,0.72
100,Tertiary,1728,Asphalt,2024,43.89,11.85,0.59
12.21,Tertiary,1007,Concrete,2008,97.53,19.04,0.8
38.24,Secondary,24176,Asphalt,2016,76.33,20.41,1.14
100,Primary,23458,Concrete,2016,42.01,13.9,0.69
45.61,Secondary,9881,Asphalt,2012,70.17,17.53,1.13
64.28,Tertiary,1578,Concrete,2019,40.47,12.05,1.02
24.48,Tertiary,1277,Asphalt,2020,69.61,19.73,1.23
